weather_conditions,n,fatal_rate,serious_rate,serious_or_fatal_rate
7.0,72906,0.015938331550215346,0.1259155625051436,0.14185389405535895
4.0,130275,0.014162348877374784,0.1226252158894646,0.13678756476683937
1.0,8492413,0.010629841012207014,0.11895311732955051,0.1295829583417575
6.0,13237,0.006270302938732341,0.11618946891289567,0.12245977185162801
5.0,141725,0.011324748632915858,0.10892926442053272,0.12025401305344859
8.0,220701,0.007616639707115056,0.10204303560020117,0.10965967530731624
2.0,1384564,0.007751176543662842,0.10139942971216932,0.10915060625583216
3.0,54973,0.00665781383588307,0.09058992596365488,0.09724773979953795
9.0,179602,0.007878531419471943,0.08278304250509459,0.09066157392456654
-1.0,2197,0.018661811561219845,0.041875284478834776,0.06053709604005462
