lat_cell,lon_cell,Fatal,Serious,Slight,score,accidents
51.51,-0.13,23.0,829.0,6536.0,8263.0,7388.0
51.54,-0.14,30.0,617.0,4527.0,5851.0,5174.0
51.39,0.75,6.0,649.0,4366.0,5682.0,5021.0
51.52,-0.17,22.0,563.0,4285.0,5477.0,4870.0
51.52,-0.14,17.0,600.0,4084.0,5335.0,4701.0
51.52,-0.16,13.0,503.0,4262.0,5307.0,4778.0
51.51,-0.14,9.0,517.0,4117.0,5178.0,4643.0
51.5,-0.15,19.0,586.0,3921.0,5150.0,4526.0
51.52,-0.13,8.0,554.0,3930.0,5062.0,4492.0
51.52,-0.11,20.0,566.0,3827.0,5019.0,4413.0
51.51,-0.09,19.0,606.0,3697.0,4966.0,4322.0
50.82,-0.14,22.0,603.0,3533.0,4805.0,4158.0
51.5,-0.1,20.0,520.0,3610.0,4710.0,4150.0
51.52,-0.08,14.0,545.0,3573.0,4705.0,4132.0
51.49,-0.1,14.0,462.0,3628.0,4594.0,4104.0
51.53,-0.08,11.0,518.0,3406.0,4475.0,3935.0
51.51,-0.15,21.0,492.0,3400.0,4447.0,3913.0
51.56,-0.12,17.0,384.0,3555.0,4374.0,3956.0
51.48,-0.11,24.0,506.0,3284.0,4368.0,3814.0
53.48,-2.24,20.0,304.0,3659.0,4327.0,3983.0
51.51,-0.12,16.0,536.0,3160.0,4280.0,3712.0
51.52,-0.06,8.0,389.0,3452.0,4254.0,3849.0
51.52,-0.12,26.0,441.0,3189.0,4149.0,3656.0
51.5,-0.22,9.0,423.0,3263.0,4136.0,3695.0
51.52,-0.07,14.0,427.0,3232.0,4128.0,3673.0
51.52,-0.15,7.0,411.0,3284.0,4127.0,3702.0
51.53,-0.11,14.0,399.0,3271.0,4111.0,3684.0
51.53,-0.06,25.0,406.0,3108.0,3995.0,3539.0
51.56,0.07,5.0,248.0,3460.0,3971.0,3713.0
54.97,-1.61,11.0,325.0,3280.0,3963.0,3616.0
51.51,-0.01,16.0,293.0,3300.0,3934.0,3609.0
51.51,-0.1,14.0,496.0,2839.0,3873.0,3349.0
51.47,-0.09,9.0,366.0,3110.0,3869.0,3485.0
51.46,-0.01,16.0,308.0,3162.0,3826.0,3486.0
52.47,-1.9,90.0,283.0,2951.0,3787.0,3324.0
55.86,-4.26,13.0,346.0,3010.0,3741.0,3369.0
51.51,-0.06,8.0,343.0,3023.0,3733.0,3374.0
51.55,-0.08,17.0,359.0,2950.0,3719.0,3326.0
53.79,-1.75,15.0,208.0,3256.0,3717.0,3479.0
51.51,-0.16,14.0,316.0,3026.0,3700.0,3356.0
51.46,-0.12,13.0,410.0,2832.0,3691.0,3255.0
51.54,-0.1,7.0,326.0,2993.0,3666.0,3326.0
51.53,-0.13,20.0,378.0,2844.0,3660.0,3242.0
51.58,-0.07,10.0,313.0,3001.0,3657.0,3324.0
53.8,-1.54,13.0,263.0,3088.0,3653.0,3364.0
54.97,-1.62,10.0,260.0,3089.0,3639.0,3359.0
51.51,-0.07,15.0,363.0,2863.0,3634.0,3241.0
51.57,-0.07,22.0,399.0,2730.0,3594.0,3151.0
51.53,-0.09,12.0,328.0,2845.0,3537.0,3185.0
53.41,-2.98,3.0,217.0,3090.0,3533.0,3310.0
51.5,-0.11,15.0,413.0,2631.0,3502.0,3059.0
52.96,-1.15,11.0,357.0,2743.0,3490.0,3111.0
51.53,-0.12,9.0,395.0,2628.0,3445.0,3032.0
51.6,-0.11,5.0,270.0,2841.0,3396.0,3116.0
51.5,-0.08,14.0,315.0,2697.0,3369.0,3026.0
51.49,-0.22,7.0,360.0,2580.0,3321.0,2947.0
51.49,-0.12,13.0,364.0,2538.0,3305.0,2915.0
52.47,-1.87,8.0,167.0,2926.0,3284.0,3101.0
51.37,-0.1,8.0,304.0,2642.0,3274.0,2954.0
51.53,-0.29,10.0,189.0,2850.0,3258.0,3049.0
53.8,-1.55,5.0,277.0,2688.0,3257.0,2970.0
51.48,-0.19,9.0,313.0,2603.0,3256.0,2925.0
51.55,-0.11,11.0,332.0,2545.0,3242.0,2888.0
