year,dow,hour,accidents
1999,Monday,0,356
1999,Monday,1,197
1999,Monday,2,111
1999,Monday,3,112
1999,Monday,4,100
1999,Monday,5,221
1999,Monday,6,589
1999,Monday,7,1589
1999,Monday,8,3021
1999,Monday,9,1900
1999,Monday,10,1477
1999,Monday,11,1674
1999,Monday,12,1911
1999,Monday,13,2014
1999,Monday,14,2004
1999,Monday,15,2728
1999,Monday,16,2892
1999,Monday,17,3366
1999,Monday,18,2394
1999,Monday,19,1702
1999,Monday,20,1148
1999,Monday,21,972
1999,Monday,22,768
1999,Monday,23,561
1999,Tuesday,0,307
1999,Tuesday,1,186
1999,Tuesday,2,132
1999,Tuesday,3,94
1999,Tuesday,4,98
1999,Tuesday,5,238
1999,Tuesday,6,558
1999,Tuesday,7,1684
1999,Tuesday,8,3421
1999,Tuesday,9,2113
1999,Tuesday,10,1596
1999,Tuesday,11,1715
1999,Tuesday,12,1853
1999,Tuesday,13,2008
1999,Tuesday,14,1831
1999,Tuesday,15,2607
1999,Tuesday,16,2850
1999,Tuesday,17,3281
1999,Tuesday,18,2411
1999,Tuesday,19,1753
1999,Tuesday,20,1225
1999,Tuesday,21,963
1999,Tuesday,22,699
1999,Tuesday,23,615
1999,Wednesday,0,317
1999,Wednesday,1,179
1999,Wednesday,2,154
1999,Wednesday,3,107
1999,Wednesday,4,89
1999,Wednesday,5,230
1999,Wednesday,6,524
1999,Wednesday,7,1643
1999,Wednesday,8,3170
1999,Wednesday,9,1937
1999,Wednesday,10,1515
1999,Wednesday,11,1645
1999,Wednesday,12,1855
1999,Wednesday,13,1975
1999,Wednesday,14,1824
1999,Wednesday,15,2607
1999,Wednesday,16,2807
1999,Wednesday,17,3428
1999,Wednesday,18,2539
1999,Wednesday,19,1818
1999,Wednesday,20,1222
1999,Wednesday,21,947
1999,Wednesday,22,866
1999,Wednesday,23,683
1999,Thursday,0,336
1999,Thursday,1,218
1999,Thursday,2,159
1999,Thursday,3,92
1999,Thursday,4,112
1999,Thursday,5,219
1999,Thursday,6,547
1999,Thursday,7,1656
1999,Thursday,8,3229
1999,Thursday,9,1957
1999,Thursday,10,1603
1999,Thursday,11,1727
1999,Thursday,12,2054
1999,Thursday,13,1970
1999,Thursday,14,1911
1999,Thursday,15,2580
1999,Thursday,16,2883
1999,Thursday,17,3279
1999,Thursday,18,2635
1999,Thursday,19,1883
1999,Thursday,20,1420
1999,Thursday,21,1087
1999,Thursday,22,861
1999,Thursday,23,728
1999,Friday,0,501
1999,Friday,1,345
1999,Friday,2,296
1999,Friday,3,165
1999,Friday,4,122
1999,Friday,5,241
1999,Friday,6,489
1999,Friday,7,1480
1999,Friday,8,2925
1999,Friday,9,1864
1999,Friday,10,1599
1999,Friday,11,1784
1999,Friday,12,2246
1999,Friday,13,2340
1999,Friday,14,2208
1999,Friday,15,3140
1999,Friday,16,3315
1999,Friday,17,3408
1999,Friday,18,2695
1999,Friday,19,2366
1999,Friday,20,1729
1999,Friday,21,1297
1999,Friday,22,1177
1999,Friday,23,1308
1999,Saturday,0,928
1999,Saturday,1,693
1999,Saturday,2,605
1999,Saturday,3,347
1999,Saturday,4,211
1999,Saturday,5,228
1999,Saturday,6,343
1999,Saturday,7,575
1999,Saturday,8,907
1999,Saturday,9,1196
1999,Saturday,10,1731
1999,Saturday,11,2223
1999,Saturday,12,2428
1999,Saturday,13,2470
1999,Saturday,14,2316
1999,Saturday,15,2186
1999,Saturday,16,2120
1999,Saturday,17,2235
1999,Saturday,18,2025
1999,Saturday,19,1828
1999,Saturday,20,1275
1999,Saturday,21,1007
1999,Saturday,22,895
1999,Saturday,23,1086
1999,Sunday,0,835
1999,Sunday,1,634
1999,Sunday,2,619
1999,Sunday,3,351
1999,Sunday,4,230
1999,Sunday,5,208
1999,Sunday,6,231
1999,Sunday,7,302
1999,Sunday,8,460
1999,Sunday,9,752
1999,Sunday,10,1280
1999,Sunday,11,1555
1999,Sunday,12,1983
1999,Sunday,13,1810
1999,Sunday,14,1990
1999,Sunday,15,1909
1999,Sunday,16,1883
1999,Sunday,17,1784
1999,Sunday,18,1598
1999,Sunday,19,1394
1999,Sunday,20,1182
1999,Sunday,21,937
1999,Sunday,22,771
1999,Sunday,23,812
2000,Monday,0,387
2000,Monday,1,227
2000,Monday,2,137
2000,Monday,3,115
2000,Monday,4,111
2000,Monday,5,234
2000,Monday,6,582
2000,Monday,7,1588
2000,Monday,8,2945
2000,Monday,9,1837
2000,Monday,10,1501
2000,Monday,11,1707
2000,Monday,12,1880
2000,Monday,13,2022
2000,Monday,14,1986
2000,Monday,15,2687
2000,Monday,16,2856
2000,Monday,17,3270
2000,Monday,18,2334
2000,Monday,19,1663
2000,Monday,20,1192
2000,Monday,21,984
2000,Monday,22,754
2000,Monday,23,550
2000,Tuesday,0,326
2000,Tuesday,1,177
2000,Tuesday,2,172
2000,Tuesday,3,106
2000,Tuesday,4,79
2000,Tuesday,5,224
2000,Tuesday,6,544
2000,Tuesday,7,1534
2000,Tuesday,8,3046
2000,Tuesday,9,1866
2000,Tuesday,10,1509
2000,Tuesday,11,1676
2000,Tuesday,12,1841
2000,Tuesday,13,1927
2000,Tuesday,14,1893
2000,Tuesday,15,2665
2000,Tuesday,16,2770
2000,Tuesday,17,3458
2000,Tuesday,18,2535
2000,Tuesday,19,1799
2000,Tuesday,20,1237
2000,Tuesday,21,1014
2000,Tuesday,22,812
2000,Tuesday,23,571
2000,Wednesday,0,327
2000,Wednesday,1,181
2000,Wednesday,2,139
2000,Wednesday,3,122
2000,Wednesday,4,98
2000,Wednesday,5,243
2000,Wednesday,6,560
2000,Wednesday,7,1640
2000,Wednesday,8,3176
2000,Wednesday,9,1921
2000,Wednesday,10,1512
2000,Wednesday,11,1565
2000,Wednesday,12,1784
2000,Wednesday,13,1885
2000,Wednesday,14,1757
