year,month_num,month_name,accidents
1999,1,January,19418
1999,2,February,16402
1999,3,March,18828
1999,4,April,18447
1999,5,May,18502
1999,6,June,19287
1999,7,July,19843
1999,8,August,19147
1999,9,September,20636
1999,10,October,20546
1999,11,November,21441
1999,12,December,21183
2000,1,January,19396
2000,2,February,18027
2000,3,March,17841
2000,4,April,18594
2000,5,May,20124
2000,6,June,18124
2000,7,July,18848
2000,8,August,19118
2000,9,September,19739
2000,10,October,20976
2000,11,November,22214
2000,12,December,19847
2001,1,January,19877
2001,2,February,17458
2001,3,March,17691
2001,4,April,17057
2001,5,May,19272
2001,6,June,18659
2001,7,July,19098
2001,8,August,18800
2001,9,September,18773
2001,10,October,20436
2001,11,November,21215
2001,12,December,19877
2002,1,January,17432
2002,2,February,17164
2002,3,March,17471
2002,4,April,17402
2002,5,May,18618
2002,6,June,17121
2002,7,July,18858
2002,8,August,17768
2002,9,September,18490
2002,10,October,21037
2002,11,November,21067
2002,12,December,18858
2003,1,January,17492
2003,2,February,16079
2003,3,March,16632
2003,4,April,16491
2003,5,May,17868
2003,6,June,18050
2003,7,July,18716
2003,8,August,17368
2003,9,September,18654
2003,10,October,19624
2003,11,November,19115
2003,12,December,17671
2004,1,January,17136
2004,2,February,15025
2004,3,March,16511
2004,4,April,16140
2004,5,May,17519
2004,6,June,17482
2004,7,July,16841
2004,8,August,17338
2004,9,September,18017
2004,10,October,19178
2004,11,November,18171
2004,12,December,17922
2005,1,January,16275
2005,2,February,14520
2005,3,March,14973
2005,4,April,15660
2005,5,May,17026
2005,6,June,16864
2005,7,July,16885
2005,8,August,16399
2005,9,September,16715
2005,10,October,17524
2005,11,November,18737
2005,12,December,17088
2006,1,January,14839
2006,2,February,14067
2006,3,March,14854
2006,4,April,13804
2006,5,May,16101
2006,6,June,16032
2006,7,July,16669
2006,8,August,15293
2006,9,September,16782
2006,10,October,17124
2006,11,November,17395
2006,12,December,16184
2007,1,January,15355
2007,2,February,13253
2007,3,March,15046
2007,4,April,14125
2007,5,May,15833
2007,6,June,15528
2007,7,July,15860
2007,8,August,15041
2007,9,September,15269
2007,10,October,15527
2007,11,November,16559
2007,12,December,14704
2008,1,January,14133
2008,2,February,14353
2008,3,March,13494
2008,4,April,13392
2008,5,May,14332
2008,6,June,14204
2008,7,July,14630
2008,8,August,13366
2008,9,September,14431
2008,10,October,15683
2008,11,November,14770
2008,12,December,13793
2009,1,January,13417
2009,2,February,10950
2009,3,March,13202
2009,4,April,12715
2009,5,May,13811
2009,6,June,13936
2009,7,July,14300
2009,8,August,13415
2009,9,September,13792
2009,10,October,14834
2009,11,November,15473
2009,12,December,13709
2010,1,January,10637
2010,2,February,11724
2010,3,March,13165
2010,4,April,12248
2010,5,May,13220
2010,6,June,13644
2010,7,July,13527
2010,8,August,13027
2010,9,September,13904
2010,10,October,14429
2010,11,November,14544
2010,12,December,10345
2011,1,January,11761
2011,2,February,11150
2011,3,March,12432
2011,4,April,12342
2011,5,May,12623
2011,6,June,13048
2011,7,July,13118
2011,8,August,12031
2011,9,September,13339
2011,10,October,13748
2011,11,November,13197
2011,12,December,12685
2012,1,January,11836
2012,2,February,10863
2012,3,March,12171
2012,4,April,10820
2012,5,May,12439
2012,6,June,11470
2012,7,July,12818
2012,8,August,11878
2012,9,September,13066
2012,10,October,13120
2012,11,November,13305
2012,12,December,11785
2013,1,January,10226
2013,2,February,9721
2013,3,March,10284
2013,4,April,9962
2013,5,May,11449
2013,6,June,11843
2013,7,July,13012
2013,8,August,11774
2013,9,September,12012
2013,10,October,13322
2013,11,November,13168
