year,severity,accidents
1999,Fatal,3109
1999,Serious,33059
1999,Slight,197512
2000,Fatal,3102
2000,Serious,32385
2000,Slight,197361
2001,Fatal,3166
2001,Serious,31496
2001,Slight,193551
2002,Fatal,3124
2002,Serious,30481
2002,Slight,187681
2003,Fatal,3247
2003,Serious,28879
2003,Slight,181634
2004,Fatal,2978
2004,Serious,26742
2004,Slight,177560
2005,Fatal,2913
2005,Serious,25018
2005,Slight,170735
2006,Fatal,2926
2006,Serious,24944
2006,Slight,161274
2007,Fatal,2714
2007,Serious,24319
2007,Slight,155067
2008,Fatal,2341
2008,Serious,23119
2008,Slight,145121
2009,Fatal,2057
2009,Serious,21997
2009,Slight,139500
2010,Fatal,1731
2010,Serious,20440
2010,Slight,132243
2011,Fatal,1797
2011,Serious,20986
2011,Slight,128691
2012,Fatal,1637
2012,Serious,20896
2012,Slight,123038
2013,Fatal,1608
2013,Serious,19585
2013,Slight,117467
2014,Fatal,1658
2014,Serious,20647
2014,Slight,124017
2015,Fatal,1616
2015,Serious,19979
2015,Slight,118434
2016,Fatal,1695
2016,Serious,21473
2016,Slight,113409
2017,Fatal,1676
2017,Serious,22352
2017,Slight,105935
2018,Fatal,1670
2018,Serious,22957
2018,Slight,97953
2019,Fatal,1658
2019,Serious,22976
2019,Slight,92874
2020,Fatal,1391
2020,Serious,18353
2020,Slight,71441
2021,Fatal,1473
2021,Serious,21279
2021,Slight,78318
2022,Fatal,1602
2022,Serious,23327
2022,Slight,81053
2023,Fatal,1522
2023,Serious,23434
2023,Slight,79290
2024,Fatal,1502
2024,Serious,23567
2024,Slight,75858
